模块-描述：
asynchat 包含补充asyncore的功能（参见第24章）
asyncore 异步套接字处理程序（参见第24章）
cgi 基本的CGI支持（参见第15章）
Cookie Cookie对象操作，主要用于服务器
cookielib 客户端Cookie支持
email 电子邮件（包括MIME）支持
ftplib FTP客户端模块
gopherlib Gopher客户端模块
httplib HTTP 客户端模块
imaplib IMAP4客户端模块
mailbox 读取多种邮箱格式
mailcap 通过mailcap文件访问MIME配置
mhlib 访问MH邮箱
nntplib NNTP客户端模块（参见第23章）
poplib POP客户端模块
robotparser 解析Web服务器robot文件
SimpleXMLRPCServer 一个简单的XML-RPC服务器（参见第27章）
smtpd SMTP服务器模块
smtplib SMTP客户端模块
telnetlib Telnet客户端模块
urlparse 用于解读URL 
xmlrpclib XML-RPC客户端支持（参见第27章）
